ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0440689357655,0.014229359044,0.0375013727318,0.288957588085,0.615242744374
2,0.52105921519,0.00265231714398,0.0120715853453,0.299013333105,0.165203549216
3,0.653733780931,0.00497971110403,0.00965313917624,0.0863638025988,0.24526956619
4,0.0511536822515,0.014503143696,0.0340646368274,0.27208752423,0.628191012995
5,0.470465715082,0.00281569480714,0.0148720319579,0.334005460847,0.177841097306
6,0.409438805371,0.00285433630317,0.0190806110472,0.390596111015,0.178030136263
7,0.0652387371273,0.00487593476679,0.145316123931,0.57576467468,0.208804529495
8,0.699266760993,0.00450583333899,0.00675505826025,0.0658013361298,0.223671011278
9,0.609409887796,0.00255411377206,0.00769470048991,0.217392408533,0.16294888941
10,0.574034063577,0.00259655093475,0.00933678806462,0.250073329098,0.163959268326
11,0.601887202774,0.00256344200942,0.00803264509841,0.224346761408,0.163169948711
12,0.0308122754472,0.0135188416626,0.0465073620018,0.327276065519,0.581885455369
13,0.598052764489,0.00256813680923,0.00820717711491,0.227890145411,0.163281776176
14,0.475700946729,0.00343617185156,0.0371165405698,0.107021476873,0.376724863976
15,0.527570178639,0.00276319198463,0.0115237404584,0.281416648892,0.176726240026
16,0.605672945819,0.0025587667538,0.00786184335261,0.220847515548,0.163058928527
17,0.286859661715,0.00286441986838,0.0305717032297,0.505537783774,0.174166431413
18,0.409438805371,0.00285433630317,0.0190806110472,0.390596111015,0.178030136263
19,0.61994852234,0.00501529149235,0.013553543224,0.119966224952,0.241516417991
20,0.0216315506916,0.024313137856,0.119141470001,0.0339338905425,0.800979950909
21,0.65716736188,0.0047903847895,0.0102299632173,0.0943072718427,0.233505018271
22,0.0306989546077,0.0285401550003,0.039693693321,0.0211445012478,0.879922695823
23,0.527570178639,0.00276319198463,0.0115237404584,0.281416648892,0.176726240026
24,0.0502439719152,0.0255306264497,0.0653971755264,0.019031618623,0.839796607486
25,0.574034063577,0.00259655093475,0.00933678806462,0.250073329098,0.163959268326
26,0.563763803189,0.00488724203077,0.0194425211087,0.0176644649714,0.3942419687
27,0.706681314614,0.00445232040525,0.00616961954931,0.0607892061966,0.221907539235
28,0.0411091292073,0.0150596884146,0.0684998411269,0.0669815324149,0.808349808836
29,0.409438805371,0.00285433630317,0.0190806110472,0.390596111015,0.178030136263
30,0.470465715082,0.00281569480714,0.0148720319579,0.334005460847,0.177841097306
31,0.41824331427,0.00355958053779,0.0521914138646,0.149603338103,0.376402353225
32,0.61309795721,0.00254948569517,0.00753114585811,0.213981411749,0.162839999489
33,0.530299528038,0.00518786431373,0.0260691093401,0.0231766570346,0.415266841274
34,0.677692091961,0.00481225318653,0.00765788556654,0.07064484205,0.239192927236
35,0.0895784176556,0.0275127974572,0.0288822149187,0.0831705092632,0.770856060705
36,0.527570178639,0.00276319198463,0.0115237404584,0.281416648892,0.176726240026
37,0.490527837853,0.00552075148571,0.034999958968,0.0304577966522,0.438493655041
38,0.570748180021,0.00271443498116,0.00929383588609,0.24181382186,0.175429727252
39,0.400649197108,0.00273535252228,0.0199126942919,0.410908335084,0.165794420994
40,0.525572565813,0.00325546614335,0.0278537230745,0.0830391088234,0.360279136146
41,0.0451864441231,0.0142765101869,0.0369116631236,0.286157477811,0.617467904755
42,0.0650339705929,0.0256008799043,0.052538350598,0.0154862793246,0.84134051958
43,0.686897597516,0.00459281761984,0.00774785636297,0.0741505712971,0.226611157204
44,0.0646022417536,0.0256012528329,0.0528491237405,0.0155722046471,0.841375177026
45,0.530299528038,0.00518786431373,0.0260691093401,0.0231766570346,0.415266841274
46,0.527831798352,0.00322224693668,0.0297358199016,0.0914445032858,0.347765631524
47,0.61994852234,0.00501529149235,0.013553543224,0.119966224952,0.241516417991
48,0.470465715082,0.00281569480714,0.0148720319579,0.334005460847,0.177841097306
49,0.400649197108,0.00273535252228,0.0199126942919,0.410908335084,0.165794420994
50,0.0474962499168,0.0143690464787,0.0357527082901,0.2805416393,0.621840356014
51,0.0877251910461,0.0275115440331,0.0294458621403,0.0845647216494,0.770752681131
52,0.135350479976,0.00257143325031,0.0591407117391,0.657553904973,0.145383470062
53,0.677692091961,0.00481225318653,0.00765788556654,0.07064484205,0.239192927236
54,0.0914610368828,0.0275122482894,0.0283272032293,0.0817921039263,0.770907407672
55,0.0133680109973,0.0275653900462,0.0736117812085,0.0374086565403,0.848046161208
56,0.264391389978,0.0058825877602,0.0640735889091,0.402484206781,0.263168226572
57,0.527570178639,0.00276319198463,0.0115237404584,0.281416648892,0.176726240026
58,0.0236605012665,0.0283570507003,0.0487467228787,0.0255396406843,0.87369608447
